country,date,GDP per capita (constant 2010 US$)
Burundi,2010,313.311817914094
Malawi,2010,358.94090275072
"Congo, Dem. Rep.",2010,404.151614082661
Niger,2010,443.351265392706
Ethiopia,2010,453.29882929109
Madagascar,2010,469.240527794294
Mozambique,2010,479.884486142686
Togo,2010,483.236099457967
Afghanistan,2010,526.103675610541
Central African Republic,2010,531.712995805671
Sierra Leone,2010,535.820735033786
Burkina Faso,2010,582.415734139013
Guinea-Bissau,2010,585.691608965249
Rwanda,2010,599.207426191632
Liberia,2010,648.552683548637
