Year,Australia,Burundi,Brazil,China,Congo Dem Rep,Denmark,India,Korea Rep,Lesotho,Luxembourg,Malawi,Niger,Norway,United States
1965.0,0.2699999999999996,0.15000000000000002,0.2799999999999998,0.6700000000000002,0.14,0.4500000000000002,0.20999999999999996,1.1399999999999997,0.11999999999999966,0.8599999999999994,0.039999999999999925,0.010000000000000009,0.3700000000000001,0.9199999999999999
1970.0,0.8200000000000003,0.14,0.31999999999999984,0.5499999999999998,0.16999999999999993,0.7800000000000002,0.09000000000000008,0.9400000000000004,0.40000000000000036,0.8399999999999999,0.26,0.009999999999999953,0.4299999999999997,0.7899999999999991
1975.0,0.6899999999999995,0.19999999999999996,-0.27,0.71,0.20000000000000007,0.6600000000000001,0.28,0.96,0.22999999999999998,2.0300000000000002,0.24,0.020000000000000018,0.16999999999999993,0.7900000000000009
1980.0,0.75,0.22000000000000008,0.11000000000000032,0.6800000000000002,0.26,0.8599999999999994,0.3500000000000001,0.9299999999999997,0.2799999999999998,0.34000000000000075,0.31000000000000005,0.030000000000000027,0.39000000000000057,0.5399999999999991
1985.0,0.23000000000000043,0.22999999999999998,0.6599999999999997,0.6200000000000001,0.3699999999999999,0.71,0.52,0.9700000000000006,0.43000000000000016,0.35999999999999943,0.33000000000000007,0.09000000000000002,0.8399999999999999,0.20000000000000107
1990.0,0.17999999999999972,0.11999999999999988,0.4500000000000002,0.5599999999999996,0.6000000000000001,0.9400000000000013,0.5699999999999998,1.049999999999999,0.54,0.33999999999999986,0.3700000000000001,0.1399999999999999,0.8000000000000007,0.17999999999999972
1995.0,0.11000000000000121,0.15000000000000013,0.7999999999999998,0.8799999999999999,0.6699999999999999,0.9499999999999993,0.5499999999999998,0.8300000000000001,0.46999999999999975,0.40000000000000036,0.2599999999999998,0.19000000000000006,0.33000000000000007,0.3699999999999992
2000.0,-0.05000000000000071,0.25,0.9400000000000004,0.7800000000000002,0.3700000000000001,0.8200000000000003,0.9000000000000004,0.6500000000000004,0.54,0.35999999999999943,0.33999999999999986,0.22000000000000008,0.41000000000000014,0.2400000000000002
2005.0,0.27999999999999936,0.4399999999999997,0.9699999999999998,0.33999999999999986,0.18999999999999995,0.4599999999999991,0.41000000000000014,0.6600000000000001,1.1799999999999997,0.620000000000001,0.3400000000000003,0.19999999999999996,0.8599999999999994,0.20000000000000107
2010.0,0.23000000000000043,0.40000000000000036,0.9100000000000001,0.1900000000000004,0.1299999999999999,0.33999999999999986,0.5699999999999994,0.6400000000000006,-1.2199999999999998,0.9199999999999999,0.8999999999999999,0.1499999999999999,-0.2699999999999996,0.28999999999999915
